Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Road No.,km,Municipality,Maintenance Region,Magisterial District,Analysis Date,Inspection Item,Activity,Position,Qty Budget,Unit Cost,Unit,Cost,U,Adj. U,RMax2,B/C,WorkYear
B4603,JA LEEG RIVER,Bridge,Bridge Cellular,11/5/2019,DR02224+,1.05,Matzikama,West Coast,West Coast,6/30/2022,10. Walls, 120. Seal cracks,C1,1,790,m,790,2,4,1,127,1
B4603,JA LEEG RIVER,Bridge,Bridge Cellular,11/5/2019,DR02224+,1.05,Matzikama,West Coast,West Coast,6/30/2022,11. Top Slab, 120. Seal cracks,AC,45,790,m,35550,2,4,1,3,3
B4607,BRIDGE OVER HEUNINGSNES RIVER,Bridge,Bridge,12/5/2019,MR00261+,17.44,Cape Agulhas,Overberg,Overberg,6/30/2022,02. Guardrail, 468. Replace reflectors,BU,20,160,No,3200,3,4,4,125,1
B4607,BRIDGE OVER HEUNINGSNES RIVER,Bridge,Bridge,12/5/2019,MR00261+,17.44,Cape Agulhas,Overberg,Overberg,6/30/2022,17. Expansion Joints, 315. Replace glands of claw joint,AP,22,2430,m,53460,3,4,4,7,3
B4607,BRIDGE OVER HEUNINGSNES RIVER,Bridge,Bridge,12/5/2019,MR00261+,17.44,Cape Agulhas,Overberg,Overberg,6/30/2022,17. Expansion Joints, 301. Install silicon/bituminous seal,BU,22,1290,m,28380,3,4,4,14,2
B4611,BRIDGE OVER GABRIEL STREAM,Bridge,Bridge,11/12/2019,TR01608,46.16,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,21. Miscellaneous Items, 953. Ad-hoc item (describe under Remarks),AS,27.8,1140,No,31692,3,4,4,13,2
B4611,BRIDGE OVER GABRIEL STREAM,Bridge,Bridge,11/12/2019,TR01608,46.16,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,03. Waterway, 404. Remove trees (girth < 500 mm),BU,6,790,No,4740,2,4,4,84,1
B4611,BRIDGE OVER GABRIEL STREAM,Bridge,Bridge,11/12/2019,TR01608,46.16,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,06. Abutments, 120. Seal cracks,U1,1,790,m,790,2,4,9,1139,1
B4611,BRIDGE OVER GABRIEL STREAM,Bridge,Bridge,11/12/2019,TR01608,46.16,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,14. Piers & Columns, 103. Clean concrete surface,AP,120,160,m2,19200,1,1,4,21,1
B4611,BRIDGE OVER GABRIEL STREAM,Bridge,Bridge,11/12/2019,TR01608,46.16,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,14. Piers & Columns, 120. Seal cracks,P2,1,790,m,790,2,4,4,506,1
B4611,BRIDGE OVER GABRIEL STREAM,Bridge,Bridge,11/12/2019,TR01608,46.16,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,17. Expansion Joints, 306. New asphalt plug joint,"BU,AP",40,6540,m,261600,3,4,9,3,3
B4611,BRIDGE OVER GABRIEL STREAM,Bridge,Bridge,11/12/2019,TR01608,46.16,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,20. Decks and Slabs, 103. Clean concrete surface,AS,100,160,m2,16000,1,1,1,6,3
B4612,BRIDGE OVER BRAKVALLEI RIVER,Bridge,Bridge,11/12/2019,TR01609,17.45,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,17. Expansion Joints, 306. New asphalt plug joint,"BU,AP",67.9,6540,m,444066,3,4,4,1,3
B4612,BRIDGE OVER BRAKVALLEI RIVER,Bridge,Bridge,11/12/2019,TR01609,17.45,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,14. Piers & Columns, 207. Clear debris,AP,2,790,m3,1580,1,1,4,253,1
B4612,BRIDGE OVER BRAKVALLEI RIVER,Bridge,Bridge,11/12/2019,TR01609,17.45,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,14. Piers & Columns, 104. Concrete (reinforced),AS,2,12990,m3,25980,4,4,4,15,2
B4612,BRIDGE OVER BRAKVALLEI RIVER,Bridge,Bridge,11/12/2019,TR01609,17.45,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,14. Piers & Columns, 103. Clean concrete surface,"P1,P2",44,160,m2,7040,2,4,4,57,1
B4612,BRIDGE OVER BRAKVALLEI RIVER,Bridge,Bridge,11/12/2019,TR01609,17.45,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,11. Parapet, 118. Repair spall (including honeycombing),S1,0.5,790,L,395,2,4,1,253,1
B4612,BRIDGE OVER BRAKVALLEI RIVER,Bridge,Bridge,11/12/2019,TR01609,17.45,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,03. Waterway, 404. Remove trees (girth < 500 mm),AS,6,790,No,4740,1,1,1,21,1
B4612,BRIDGE OVER BRAKVALLEI RIVER,Bridge,Bridge,11/12/2019,TR01609,17.45,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,07. Wing/ Retaining Walls, 118. Repair spall (including honeycombing),BU,5,790,L,3950,2,4,4,101,1
B4613,BRIDGE OVER TRIBUTARY BRAKVALLEI RIVER,Bridge,Bridge,11/12/2019,  TR01609,18.92,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,17. Expansion Joints, 306. New asphalt plug joint,AP,38.4,6540,m,251136,3,4,4,2,3
B4613,BRIDGE OVER TRIBUTARY BRAKVALLEI RIVER,Bridge,Bridge,11/12/2019,  TR01609,18.92,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,07. Wing/ Retaining Walls, 120. Seal cracks,BU,10,790,m,7900,2,4,4,51,1
B4613,BRIDGE OVER TRIBUTARY BRAKVALLEI RIVER,Bridge,Bridge,11/12/2019,  TR01609,18.92,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,06. Abutments, 118. Repair spall (including honeycombing),BU,1,790,L,790,2,4,1,127,1
B4614,BRIDGE OVER BUFFALO RIVER,Bridge,Bridge,11/11/2019,TR01609,26.94,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,03. Waterway, 209. Clear siltation,AS,3,670,m3,2010,1,1,1,50,1
B4614,BRIDGE OVER BUFFALO RIVER,Bridge,Bridge,11/11/2019,TR01609,26.94,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,06. Abutments, 118. Repair spall (including honeycombing),BU,1,790,L,790,2,4,1,127,1
B4614,BRIDGE OVER BUFFALO RIVER,Bridge,Bridge,11/11/2019,TR01609,26.94,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,10. Kerbs / Sidewalks, 120. Seal cracks,AS,1,790,m,790,2,4,4,506,1
B4614,BRIDGE OVER BUFFALO RIVER,Bridge,Bridge,11/11/2019,TR01609,26.94,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,14. Piers & Columns, 120. Seal cracks,P1,4,790,m,3160,2,4,4,127,1
B4614,BRIDGE OVER BUFFALO RIVER,Bridge,Bridge,11/11/2019,TR01609,26.94,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,17. Expansion Joints, 306. New asphalt plug joint,"BU,AP",38.4,6540,m,251136,3,4,9,4,3
B4614,BRIDGE OVER BUFFALO RIVER,Bridge,Bridge,11/11/2019,TR01609,26.94,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,20. Decks and Slabs, 103. Clean concrete surface,AS,50,160,m2,8000,2,4,1,12,2
B4614,BRIDGE OVER BUFFALO RIVER,Bridge,Bridge,11/11/2019,TR01609,26.94,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,02. Guardrail, 455. New guardrail (single and double),BU,130,1010,m,131300,3,4,9,7,3
B4615,BRIDGE OVER UITKYKSPRUIT RIVER,Bridge,Bridge,11/11/2019,TR01609,39.5,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,03. Waterway, 404. Remove trees (girth < 500 mm),AS,5,790,No,3950,1,1,1,25,1
B4615,BRIDGE OVER UITKYKSPRUIT RIVER,Bridge,Bridge,11/11/2019,TR01609,39.5,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,20. Decks and Slabs, 125. Waterproofing of top surface,AS,38.1,1660,m2,63246,3,4,1,2,3
B4615,BRIDGE OVER UITKYKSPRUIT RIVER,Bridge,Bridge,11/11/2019,TR01609,39.5,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,17. Expansion Joints, 306. New asphalt plug joint,"BU,AP",76.2,6540,m,498348,3,4,9,2,3
B4615,BRIDGE OVER UITKYKSPRUIT RIVER,Bridge,Bridge,11/11/2019,TR01609,39.5,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,10. Kerbs / Sidewalks, 118. Repair spall (including honeycombing),S2,2,790,L,1580,2,4,1,63,1
B4615,BRIDGE OVER UITKYKSPRUIT RIVER,Bridge,Bridge,11/11/2019,TR01609,39.5,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,06. Abutments, 103. Clean concrete surface,BU,2,160,m2,320,2,4,1,312,1
B4615,BRIDGE OVER UITKYKSPRUIT RIVER,Bridge,Bridge,11/11/2019,TR01609,39.5,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,07. Wing/ Retaining Walls, 953. Ad-hoc item (describe under Remarks),BU,4,1140,No,4560,2,4,4,88,1
B4617A,24 RIVERS AT HALFMANSHOF NO 8,Bridge,Bridge,11/20/2019,TR02303,18.83,Drakenstein,Ceres,Cape Winelands,6/30/2022,11. Parapet, 953. Ad-hoc item (describe under Remarks),AS,15,1140,No,0,0,0,4,9999999,1
B4617A,24 RIVERS AT HALFMANSHOF NO 8,Bridge,Bridge,11/20/2019,TR02303,18.83,Drakenstein,Ceres,Cape Winelands,6/30/2022,07. Wing/ Retaining Walls, 118. Repair spall (including honeycombing),U2,1,790,L,790,2,4,1,127,1
B4617A,24 RIVERS AT HALFMANSHOF NO 8,Bridge,Bridge,11/20/2019,TR02303,18.83,Drakenstein,Ceres,Cape Winelands,6/30/2022,21. Miscellaneous Items, 620. Install structure number plate,AS,2,5700,No,11400,3,4,1,9,3
B4617A,24 RIVERS AT HALFMANSHOF NO 8,Bridge,Bridge,11/20/2019,TR02303,18.83,Drakenstein,Ceres,Cape Winelands,6/30/2022,15. Bearings, 257. Re-seat,P1,1,6540,No,6540,3,4,4,61,1
B4617A,24 RIVERS AT HALFMANSHOF NO 8,Bridge,Bridge,11/20/2019,TR02303,18.83,Drakenstein,Ceres,Cape Winelands,6/30/2022,09. Superstructure Drainage, 208. Clear scuppers,S2,2,360,No,720,1,1,1,139,1
B4617A,24 RIVERS AT HALFMANSHOF NO 8,Bridge,Bridge,11/20/2019,TR02303,18.83,Drakenstein,Ceres,Cape Winelands,6/30/2022,04. Approach Embankment Protection Works, 156. Gabion (mattresses and boxes),U1,2,3280,m3,6560,2,4,1,15,2
B4617A,24 RIVERS AT HALFMANSHOF NO 8,Bridge,Bridge,11/20/2019,TR02303,18.83,Drakenstein,Ceres,Cape Winelands,6/30/2022,03. Waterway, 405. Remove trees (girth > 500 mm),AS,1,3280,No,3280,3,4,9,274,1
B4617A,24 RIVERS AT HALFMANSHOF NO 8,Bridge,Bridge,11/20/2019,TR02303,18.83,Drakenstein,Ceres,Cape Winelands,6/30/2022,03. Waterway, 207. Clear debris,AS,15,790,m3,11850,3,4,9,76,1
B4617A,24 RIVERS AT HALFMANSHOF NO 8,Bridge,Bridge,11/20/2019,TR02303,18.83,Drakenstein,Ceres,Cape Winelands,6/30/2022,03. Waterway, 404. Remove trees (girth < 500 mm),AS,3,790,No,2370,3,4,9,380,1
B4617A,24 RIVERS AT HALFMANSHOF NO 8,Bridge,Bridge,11/20/2019,TR02303,18.83,Drakenstein,Ceres,Cape Winelands,6/30/2022,17. Expansion Joints, 306. New asphalt plug joint,"BU,P1",36,6540,m,235440,2,4,9,4,3
B4617A,24 RIVERS AT HALFMANSHOF NO 8,Bridge,Bridge,11/20/2019,TR02303,18.83,Drakenstein,Ceres,Cape Winelands,6/30/2022,03. Waterway, 209. Clear siltation,AS,3,670,m3,2010,3,4,9,448,1
B4617A,24 RIVERS AT HALFMANSHOF NO 8,Bridge,Bridge,11/20/2019,TR02303,18.83,Drakenstein,Ceres,Cape Winelands,6/30/2022,06. Abutments, 103. Clean concrete surface,BU,70,160,m2,11200,2,4,1,9,3
B4617B,24 Rivers at Halfmanshof No. 7,Bridge,Bridge,11/20/2019,TR02303+,19.75,Bergrivier,Ceres,West Coast,6/30/2022,08. Surfacing, 502. Resurface or patch,BU,200,790,m2,158000,1,1,0,0,3
B4617C,24 Rivers at Halfmanshof No. 6,Bridge,Bridge,11/20/2019,TR02303+,19.84,Bergrivier,Ceres,West Coast,6/30/2022,04. Approach Embankment Protection Works, 156. Gabion (mattresses and boxes),U1,5,3280,m3,16400,1,1,4,24,1
B4617D,24 Rivers at Halfmanshof No. 5,Bridge,Bridge,11/20/2019,TR02303+,19.9,Bergrivier,Ceres,West Coast,6/30/2022,08. Surfacing, 502. Resurface or patch,BU,200,790,m2,158000,1,1,0,0,3
B4617E,24 Rivers at Halfmanshof No. 4,Bridge,Bridge,11/20/2019,TR02303+,20,Bergrivier,Ceres,West Coast,6/30/2022,17. Expansion Joints, 306. New asphalt plug joint,BU,70,6540,m,457800,2,4,4,1,3
B4617F,24 Rivers at Halfmanshof No. 3,Bridge,Bridge,11/20/2019,TR02303+,20.44,Bergrivier,Ceres,West Coast,6/30/2022,17. Expansion Joints, 306. New asphalt plug joint,"BU,AP",50,6540,m,327000,2,4,4,1,3
B4621,ROAD OVER RAIL AT VINK RIVER,Bridge,Bridge,11/18/2019,TR03101,36.42,Langeberg,Paarl,Cape Winelands,6/30/2022,20. Decks and Slabs, 118. Repair spall (including honeycombing),S1,15,790,L,11850,3,4,1,8,3
B4629,Kreedousberg River Armco,Bridge,Bridge Cellular,11/15/2019,TR03402+,24.78,Prince Albert,Central Karoo,Central Karoo,6/30/2022,02. Wing / Ret / Head Walls, 104. Concrete (reinforced),BE,15,12990,m3,194850,3,4,4,2,3
B4629,Kreedousberg River Armco,Bridge,Bridge Cellular,11/15/2019,TR03402+,24.78,Prince Albert,Central Karoo,Central Karoo,6/30/2022,02. Wing / Ret / Head Walls, 118. Repair spall (including honeycombing),BE,5,790,L,3950,3,4,4,101,1
B4629,Kreedousberg River Armco,Bridge,Bridge Cellular,11/15/2019,TR03402+,24.78,Prince Albert,Central Karoo,Central Karoo,6/30/2022,03. Scour Protection Works, 158. Rock backfill,E2,10,2930,m3,29300,1,1,4,14,2
B4629,Kreedousberg River Armco,Bridge,Bridge Cellular,11/15/2019,TR03402+,24.78,Prince Albert,Central Karoo,Central Karoo,6/30/2022,05. Waterway, 207. Clear debris,AC,5,790,m3,3950,1,1,4,101,1
B4629,Kreedousberg River Armco,Bridge,Bridge Cellular,11/15/2019,TR03402+,24.78,Prince Albert,Central Karoo,Central Karoo,6/30/2022,05. Waterway, 209. Clear siltation,C2,1,670,m3,670,1,1,4,597,1
B4629,Kreedousberg River Armco,Bridge,Bridge Cellular,11/15/2019,TR03402+,24.78,Prince Albert,Central Karoo,Central Karoo,6/30/2022,12. Invert Slab, 118. Repair spall (including honeycombing),"C1,C4",5,790,L,3950,3,4,1,25,1
B4657,Gerolms River Armco Bridge,Bridge,Bridge Cellular,11/16/2019,TR0582+,15.2,Prince Albert,Central Karoo,Central Karoo,6/30/2022,05. Waterway, 209. Clear siltation,AC,150,670,m3,100500,3,4,4,4,3
B4657,Gerolms River Armco Bridge,Bridge,Bridge Cellular,11/16/2019,TR0582+,15.2,Prince Albert,Central Karoo,Central Karoo,6/30/2022,10. Walls, 104. Concrete (reinforced),AC,120,12990,m3,1558800,2,4,4,0,3
B4657,Gerolms River Armco Bridge,Bridge,Bridge Cellular,11/16/2019,TR0582+,15.2,Prince Albert,Central Karoo,Central Karoo,6/30/2022,02. Wing / Ret / Head Walls, 120. Seal cracks,BE,20,790,m,15800,2,4,1,6,3
B4657,Gerolms River Armco Bridge,Bridge,Bridge Cellular,11/16/2019,TR0582+,15.2,Prince Albert,Central Karoo,Central Karoo,6/30/2022,02. Wing / Ret / Head Walls, 101. Apply protective coating,E2,100,510,m2,51000,2,4,1,2,3
B4657,Gerolms River Armco Bridge,Bridge,Bridge Cellular,11/16/2019,TR0582+,15.2,Prince Albert,Central Karoo,Central Karoo,6/30/2022,04. Embankment/s, 159. Stone pitching,E1,10,1010,m2,10100,1,1,4,40,1
B4669,KNUY RIVER,Bridge,Bridge,11/21/2019,TR08301,66.85,Kannaland,Oudtshoorn,Garden Route (Eden),6/30/2022,14. Piers & Columns, 118. Repair spall (including honeycombing),P1,5,790,L,0,0,0,1,9999999,1
B4669,KNUY RIVER,Bridge,Bridge,11/21/2019,TR08301,66.85,Kannaland,Oudtshoorn,Garden Route (Eden),6/30/2022,20. Decks and Slabs, 118. Repair spall (including honeycombing),S6,5,790,L,0,0,0,1,9999999,1
B4669,KNUY RIVER,Bridge,Bridge,11/21/2019,TR08301,66.85,Kannaland,Oudtshoorn,Garden Route (Eden),6/30/2022,17. Expansion Joints, 306. New asphalt plug joint,"BU,AP",150,6540,m,0,0,0,1,9999999,1
B4669,KNUY RIVER,Bridge,Bridge,11/21/2019,TR08301,66.85,Kannaland,Oudtshoorn,Garden Route (Eden),6/30/2022,03. Waterway, 207. Clear debris,AS,80,790,m3,63200,2,4,1,2,3
B4669,KNUY RIVER,Bridge,Bridge,11/21/2019,TR08301,66.85,Kannaland,Oudtshoorn,Garden Route (Eden),6/30/2022,14. Piers & Columns, 120. Seal cracks,AP,60,790,m,0,0,0,1,9999999,1
B4669,KNUY RIVER,Bridge,Bridge,11/21/2019,TR08301,66.85,Kannaland,Oudtshoorn,Garden Route (Eden),6/30/2022,11. Parapet, 458. New/repair steel railing,AS,180,3280,m,0,0,0,1,9999999,1
B4669,KNUY RIVER,Bridge,Bridge,11/21/2019,TR08301,66.85,Kannaland,Oudtshoorn,Garden Route (Eden),6/30/2022,06. Abutments, 120. Seal cracks,BU,20,790,m,0,0,0,1,9999999,1
B4669,KNUY RIVER,Bridge,Bridge,11/21/2019,TR08301,66.85,Kannaland,Oudtshoorn,Garden Route (Eden),6/30/2022,06. Abutments, 118. Repair spall (including honeycombing),BU,12,790,L,0,0,0,1,9999999,1
B4669,KNUY RIVER,Bridge,Bridge,11/21/2019,TR08301,66.85,Kannaland,Oudtshoorn,Garden Route (Eden),6/30/2022,06. Abutments, 114. Reconstruct backwall (re-instate gap),U1,2,24340,m3,0,0,0,1,9999999,1
B4669,KNUY RIVER,Bridge,Bridge,11/21/2019,TR08301,66.85,Kannaland,Oudtshoorn,Garden Route (Eden),6/30/2022,06. Abutments, 104. Concrete (reinforced),U1,2,12990,m3,25980,3,4,1,4,3
B4669,KNUY RIVER,Bridge,Bridge,11/21/2019,TR08301,66.85,Kannaland,Oudtshoorn,Garden Route (Eden),6/30/2022,03. Waterway, 404. Remove trees (girth < 500 mm),AS,40,790,No,31600,2,4,1,3,3
B4669,KNUY RIVER,Bridge,Bridge,11/21/2019,TR08301,66.85,Kannaland,Oudtshoorn,Garden Route (Eden),6/30/2022,11. Parapet, 118. Repair spall (including honeycombing),"S1,S3,S4,S6,S8",10,790,L,0,0,0,1,9999999,1
B4669,KNUY RIVER,Bridge,Bridge,11/21/2019,TR08301,66.85,Kannaland,Oudtshoorn,Garden Route (Eden),6/30/2022,17. Expansion Joints, 203. Clean joint of loose material,"BU,AP",150,360,m,0,0,0,1,9999999,1
B4674,ROAD OVER RAIL AT GOUDINI STATION,Bridge,Bridge,11/11/2019,MR00299+,1.16,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,02. Guardrail, 467. Replace posts (steel or timber),BU,6,670,No,4020,1,1,1,25,1
B4674,ROAD OVER RAIL AT GOUDINI STATION,Bridge,Bridge,11/11/2019,MR00299+,1.16,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,18. Longitudinal Members, 118. Repair spall (including honeycombing),AS,20,790,L,15800,2,4,4,25,1
B4674,ROAD OVER RAIL AT GOUDINI STATION,Bridge,Bridge,11/11/2019,MR00299+,1.16,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,17. Expansion Joints, 301. Install silicon/bituminous seal,"BU,AP",50,1290,m,64500,2,4,4,6,3
B4674,ROAD OVER RAIL AT GOUDINI STATION,Bridge,Bridge,11/11/2019,MR00299+,1.16,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,11. Parapet, 118. Repair spall (including honeycombing),AS,200,790,L,158000,2,4,9,6,3
B4674,ROAD OVER RAIL AT GOUDINI STATION,Bridge,Bridge,11/11/2019,MR00299+,1.16,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,14. Piers & Columns, 118. Repair spall (including honeycombing),AP,50,790,L,39500,2,4,4,10,2
B4677,SMALBLAAR RIVER,Bridge,Bridge,11/26/2019,MR00298+,14.43,Breede Vallei,Cape Winelands,Cape Winelands,6/30/2022,11. Parapet, 702. Traffic accommodation-Low (< 10 000 vpd),AS,1,146090,LS,146090,2,4,4,3,3
B4677,SMALBLAAR RIVER,Bridge,Bridge,11/26/2019,MR00298+,14.43,Breede Vallei,Cape Winelands,Cape Winelands,6/30/2022,17. Expansion Joints, 306. New asphalt plug joint,P1,15,6540,m,98100,3,4,9,9,3
B4677,SMALBLAAR RIVER,Bridge,Bridge,11/26/2019,MR00298+,14.43,Breede Vallei,Cape Winelands,Cape Winelands,6/30/2022,20. Decks and Slabs, 125. Waterproofing of top surface,AS,2911,1660,m2,4832260,3,4,4,0,3
B4677,SMALBLAAR RIVER,Bridge,Bridge,11/26/2019,MR00298+,14.43,Breede Vallei,Cape Winelands,Cape Winelands,6/30/2022,14. Piers & Columns, 120. Seal cracks,P19,10,790,m,7900,2,4,4,51,1
B4677,SMALBLAAR RIVER,Bridge,Bridge,11/26/2019,MR00298+,14.43,Breede Vallei,Cape Winelands,Cape Winelands,6/30/2022,09. Superstructure Drainage, 353. Extend scupper below deck soffit,AS,24,3280,No,78720,3,4,4,5,3
B4677,SMALBLAAR RIVER,Bridge,Bridge,11/26/2019,MR00298+,14.43,Breede Vallei,Cape Winelands,Cape Winelands,6/30/2022,03. Waterway, 207. Clear debris,S11,4,790,m3,3160,2,4,1,32,1
B4677,SMALBLAAR RIVER,Bridge,Bridge,11/26/2019,MR00298+,14.43,Breede Vallei,Cape Winelands,Cape Winelands,6/30/2022,06. Abutments, 102. Apply silanes,BU,76,510,m2,38760,2,4,4,10,2
B4677,SMALBLAAR RIVER,Bridge,Bridge,11/26/2019,MR00298+,14.43,Breede Vallei,Cape Winelands,Cape Winelands,6/30/2022,11. Parapet, 102. Apply silanes,AS,554,510,m2,282540,2,4,4,1,3
B4691,BRIDGE OVER OLIFANTS RIVER,Bridge,Bridge,11/5/2019,TR07501+,30.02,Oudtshoorn,Oudtshoorn,Garden Route (Eden),6/30/2022,03. Waterway, 207. Clear debris,S1-S5,50,790,m3,39500,1,1,1,3,3
B4691,BRIDGE OVER OLIFANTS RIVER,Bridge,Bridge,11/5/2019,TR07501+,30.02,Oudtshoorn,Oudtshoorn,Garden Route (Eden),6/30/2022,18. Longitudinal Members, 108. Cut back reinforcement (tie rods) and make good,"S1,S3,S7,S9",20,240,No,4800,2,4,1,21,1
B4691,BRIDGE OVER OLIFANTS RIVER,Bridge,Bridge,11/5/2019,TR07501+,30.02,Oudtshoorn,Oudtshoorn,Garden Route (Eden),6/30/2022,17. Expansion Joints, 301. Install silicon/bituminous seal,"U1,U2",22,1290,m,28380,2,4,1,4,3
B4691,BRIDGE OVER OLIFANTS RIVER,Bridge,Bridge,11/5/2019,TR07501+,30.02,Oudtshoorn,Oudtshoorn,Garden Route (Eden),6/30/2022,04. Approach Embankment Protection Works, 401. Apply weed killer/ant poison and remove growth,"U1,U2",150,80,m2,12000,1,1,1,8,3
B4691,BRIDGE OVER OLIFANTS RIVER,Bridge,Bridge,11/5/2019,TR07501+,30.02,Oudtshoorn,Oudtshoorn,Garden Route (Eden),6/30/2022,02. Guardrail, 467. Replace posts (steel or timber),U1,1,670,No,670,2,4,4,597,1
B4691,BRIDGE OVER OLIFANTS RIVER,Bridge,Bridge,11/5/2019,TR07501+,30.02,Oudtshoorn,Oudtshoorn,Garden Route (Eden),6/30/2022,02. Guardrail, 466. Replace bolts and washers,"U1,U2",1100,360,No,396000,3,4,4,1,3
B4691,BRIDGE OVER OLIFANTS RIVER,Bridge,Bridge,11/5/2019,TR07501+,30.02,Oudtshoorn,Oudtshoorn,Garden Route (Eden),6/30/2022,02. Guardrail," 463. Repair guardrail (realign, bolt replacement, etc)",U2,60,670,m,40200,2,4,4,10,3
B4691,BRIDGE OVER OLIFANTS RIVER,Bridge,Bridge,11/5/2019,TR07501+,30.02,Oudtshoorn,Oudtshoorn,Garden Route (Eden),6/30/2022,01. Approach Embankment, 157. Mass concrete backfill,U1,1,5820,m3,5820,2,4,1,17,2
B4691,BRIDGE OVER OLIFANTS RIVER,Bridge,Bridge,11/5/2019,TR07501+,30.02,Oudtshoorn,Oudtshoorn,Garden Route (Eden),6/30/2022,11. Parapet, 118. Repair spall (including honeycombing),"S3,S4,S6,S9",10,790,L,7900,2,4,1,13,2
B4693,Klein Swart River,Bridge,Bridge,11/9/2019,MR00355,3.33,George,,Garden Route (Eden),6/30/2022,14. Piers & Columns, 120. Seal cracks,P1,15,790,m,11850,3,4,1,8,3
B4693,Klein Swart River,Bridge,Bridge,11/9/2019,MR00355,3.33,George,,Garden Route (Eden),6/30/2022,14. Piers & Columns, 654. Access-using scaffold (< 10 m),P1,1,4910,No,4910,3,4,1,20,2
B4694A,VINK RIVER,Bridge,Bridge,11/18/2019,TR03101,35.81,Langeberg,Paarl,Cape Winelands,6/30/2022,06. Abutments, 120. Seal cracks,U1,2,790,m,1580,2,4,1,63,1
B4694A,VINK RIVER,Bridge,Bridge,11/18/2019,TR03101,35.81,Langeberg,Paarl,Cape Winelands,6/30/2022,09. Superstructure Drainage, 208. Clear scuppers,AS,20,360,No,7200,1,1,1,14,2
B4694A,VINK RIVER,Bridge,Bridge,11/18/2019,TR03101,35.81,Langeberg,Paarl,Cape Winelands,6/30/2022,20. Decks and Slabs, 118. Repair spall (including honeycombing),S2,30,790,L,23700,3,4,4,17,2
B4694A,VINK RIVER,Bridge,Bridge,11/18/2019,TR03101,35.81,Langeberg,Paarl,Cape Winelands,6/30/2022,06. Abutments, 118. Repair spall (including honeycombing),U2,8,790,L,6320,3,4,1,16,2
B4694A,VINK RIVER,Bridge,Bridge,11/18/2019,TR03101,35.81,Langeberg,Paarl,Cape Winelands,6/30/2022,03. Waterway, 404. Remove trees (girth < 500 mm),AS,15,790,No,11850,1,1,1,8,3
B4694A,VINK RIVER,Bridge,Bridge,11/18/2019,TR03101,35.81,Langeberg,Paarl,Cape Winelands,6/30/2022,14. Piers & Columns, 118. Repair spall (including honeycombing),P1,150,790,L,118500,3,4,4,3,3
B4704,ROAD OVER RAIL AT BREERIVIER STATION,Bridge,Bridge,11/14/2019,DR01434+,0.51,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,01. Approach Embankment, 156. Gabion (mattresses and boxes),U1,2,3280,m3,6560,2,4,4,61,1
B4704,ROAD OVER RAIL AT BREERIVIER STATION,Bridge,Bridge,11/14/2019,DR01434+,0.51,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,04. Approach Embankment Protection Works, 159. Stone pitching,BU,10,1010,m2,10100,2,4,4,40,1
B4704,ROAD OVER RAIL AT BREERIVIER STATION,Bridge,Bridge,11/14/2019,DR01434+,0.51,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,17. Expansion Joints, 301. Install silicon/bituminous seal,"BU,P1,P3",40,1290,m,51600,2,4,4,8,3
